Tue May  2 18:52:39 2023	Lugii (STEAM_0:1:552352244) has joined the game
Tue May  2 18:52:40 2023	Lugii (STEAM_0:1:552352244) spawned
Tue May  2 18:52:56 2023	tronix22 (STEAM_0:1:634690584) has joined the game
Tue May  2 18:52:56 2023	OWNER (STEAM_0:1:634690584) spawned
Tue May  2 18:53:10 2023	Lugii (STEAM_0:1:552352244): !warn
Tue May  2 18:58:18 2023	OWNER (STEAM_0:1:634690584): !warn
Tue May  2 19:00:05 2023	Lugii (STEAM_0:1:552352244): !noclip
Tue May  2 19:00:12 2023	Lugii (STEAM_0:1:552352244): !noclip
Tue May  2 19:00:29 2023	Lugii (STEAM_0:1:552352244): !warn OWNER Test
Tue May  2 19:00:30 2023	OWNER (STEAM_0:1:634690584): !warn
Tue May  2 19:00:39 2023	Lugii (STEAM_0:1:552352244): !warn OWNER Test
Tue May  2 19:00:50 2023	Lugii (STEAM_0:1:552352244): !warn OWNER Test
Tue May  2 19:01:36 2023	Lugii (STEAM_0:1:552352244): !warn STEAM_0:1:634690584 Test
Tue May  2 19:01:41 2023	Lugii (STEAM_0:1:552352244): !warn STEAM_0:1:634690584 Test
Tue May  2 19:01:50 2023	Lugii (STEAM_0:1:552352244): !warns STEAM_0:1:634690584
Tue May  2 19:01:53 2023	Lugii (STEAM_0:1:552352244): !warns
Tue May  2 19:02:19 2023	Lugii (STEAM_0:1:552352244): !warn STEAM_0:1:634690584 Test
Tue May  2 19:02:21 2023	Lugii (STEAM_0:1:552352244): !warn STEAM_0:1:634690584 Test
Tue May  2 19:02:22 2023	Lugii (STEAM_0:1:552352244): !warn STEAM_0:1:634690584 Test
Tue May  2 19:02:44 2023	Lugii (STEAM_0:1:552352244): !warns
Tue May  2 19:03:30 2023	tronix22 (STEAM_0:1:634690584) has joined the game
Tue May  2 19:03:30 2023	OWNER (STEAM_0:1:634690584) spawned
Tue May  2 19:03:40 2023	Lugii (STEAM_0:1:552352244): !warns
Tue May  2 19:04:20 2023	Lugii (STEAM_0:1:552352244): !warn
Tue May  2 19:04:47 2023	Lugii (STEAM_0:1:552352244): !noclip
Tue May  2 19:05:39 2023	Lugii (STEAM_0:1:552352244): !noclip
Tue May  2 19:10:15 2023	Lugii (STEAM_0:1:552352244): !goto OWNER
Tue May  2 19:12:16 2023	OWNER was killed by Lugii with a weapon_gblaster_asriel_rainbow
Tue May  2 19:12:17 2023	Lugii (STEAM_0:1:552352244): 
